image_path,area,tilt,bbox,vertices,annotation,encoded_label,brightness,blurriness
ccpd_db/0483-4_12-234&480_491&637-491&637_252&617_234&480_473&500-0_0_5_30_24_25_19-23-2.jpg,483,4_12,"[234, 480, 491, 637]","[[491, 637], [252, 617], [234, 480], [473, 500]]",皖AF601V,"[0, 0, 5, 30, 24, 25, 19]",23,2
ccpd_db/0486-0_1-206&421_539&543-536&541_206&543_209&423_539&421-0_0_28_3_32_24_30-20-3.jpg,486,0_1,"[206, 421, 539, 543]","[[536, 541], [206, 543], [209, 423], [539, 421]]",皖A4D806,"[0, 0, 28, 3, 32, 24, 30]",20,3
ccpd_db/0570-7_28-189&461_520&605-520&605_231&569_189&461_478&497-0_0_32_33_25_22_26-22-3.jpg,570,7_28,"[189, 461, 520, 605]","[[520, 605], [231, 569], [189, 461], [478, 497]]",皖A891Y2,"[0, 0, 32, 33, 25, 22, 26]",22,3
ccpd_db/0125-0_8-226&525_403&584-394&584_226&583_235&525_403&526-0_0_8_28_8_33_33-23-1.jpg,125,0_8,"[226, 525, 403, 584]","[[394, 584], [226, 583], [235, 525], [403, 526]]",皖AJ4J99,"[0, 0, 8, 28, 8, 33, 33]",23,1
ccpd_db/0683-8_12-144&429_486&596-486&596_151&545_144&429_479&480-0_0_33_28_25_15_32-19-6.jpg,683,8_12,"[144, 429, 486, 596]","[[486, 596], [151, 545], [144, 429], [479, 480]]",皖A941R8,"[0, 0, 33, 28, 25, 15, 32]",19,6
ccpd_db/0278-14_32-314&465_503&588-503&588_339&545_314&465_478&508-12_13_29_29_29_10_33-22-20.jpg,278,14_32,"[314, 465, 503, 588]","[[503, 588], [339, 545], [314, 465], [478, 508]]",京P555L9,"[12, 13, 29, 29, 29, 10, 33]",22,20
ccpd_db/0428-0_10-161&397_472&512-472&511_183&512_161&398_450&397-0_0_1_11_29_27_32-201-34.jpg,428,0_10,"[161, 397, 472, 512]","[[472, 511], [183, 512], [161, 398], [450, 397]]",皖ABM538,"[0, 0, 1, 11, 29, 27, 32]",201,34
ccpd_db/0261-2_17-228&353_463&446-463&446_249&435_228&353_442&364-7_0_27_3_18_25_30-26-24.jpg,261,2_17,"[228, 353, 463, 446]","[[463, 446], [249, 435], [228, 353], [442, 364]]",辽A3DU16,"[7, 0, 27, 3, 18, 25, 30]",26,24
ccpd_db/0590-16_43-202&478_484&653-429&585_202&653_257&546_484&478-0_0_18_33_31_27_31-34-8.jpg,590,16_43,"[202, 478, 484, 653]","[[429, 585], [202, 653], [257, 546], [484, 478]]",皖AU9737,"[0, 0, 18, 33, 31, 27, 31]",34,8
ccpd_db/0777-4_6-15&376_386&551-386&551_19&520_15&376_382&407-0_0_14_26_30_27_25-212-82.jpg,777,4_6,"[15, 376, 386, 551]","[[386, 551], [19, 520], [15, 376], [382, 407]]",皖AQ2631,"[0, 0, 14, 26, 30, 27, 25]",212,82
ccpd_db/0446-8_11-248&461_498&610-493&573_248&610_253&498_498&461-11_2_7_25_32_16_33-213-54.jpg,446,8_11,"[248, 461, 498, 610]","[[493, 573], [248, 610], [253, 498], [498, 461]]",浙CH18S9,"[11, 2, 7, 25, 32, 16, 33]",213,54
ccpd_db/0421-3_2-145&309_436&430-436&414_147&430_145&325_434&309-0_0_16_29_2_25_33-212-53.jpg,421,3_2,"[145, 309, 436, 430]","[[436, 414], [147, 430], [145, 325], [434, 309]]",皖AS5C19,"[0, 0, 16, 29, 2, 25, 33]",212,53
ccpd_db/0328-0_3-195&451_449&559-445&555_195&559_199&455_449&451-0_1_0_3_33_31_33-230-14.jpg,328,0_3,"[195, 451, 449, 559]","[[445, 555], [195, 559], [199, 455], [449, 451]]",皖BAD979,"[0, 1, 0, 3, 33, 31, 33]",230,14
ccpd_db/0375-8_12-211&463_443&598-443&598_219&566_211&463_435&495-0_0_10_31_19_30_30-29-15.jpg,375,8_12,"[211, 463, 443, 598]","[[443, 598], [219, 566], [211, 463], [435, 495]]",皖AL7V66,"[0, 0, 10, 31, 19, 30, 30]",29,15
ccpd_db/0788-11_33-139&411_497&595-497&595_185&529_139&411_451&477-0_0_32_24_25_30_31-21-4.jpg,788,11_33,"[139, 411, 497, 595]","[[497, 595], [185, 529], [139, 411], [451, 477]]",皖A80167,"[0, 0, 32, 24, 25, 30, 31]",21,4
ccpd_db/0853-26_17-312&366_595&618-595&488_330&618_312&496_577&366-0_0_16_7_25_28_29-15-168.jpg,853,26_17,"[312, 366, 595, 618]","[[595, 488], [330, 618], [312, 496], [577, 366]]",皖ASH145,"[0, 0, 16, 7, 25, 28, 29]",15,168
ccpd_db/0453-8_8-216&448_479&592-479&592_216&552_216&448_479&488-0_0_32_0_31_25_24-30-4.jpg,453,8_8,"[216, 448, 479, 592]","[[479, 592], [216, 552], [216, 448], [479, 488]]",皖A8A710,"[0, 0, 32, 0, 31, 25, 24]",30,4
ccpd_db/0419-38_43-225&397_383&619-383&619_234&502_225&397_374&514-18_0_31_12_14_30_29-29-156.jpg,419,38_43,"[225, 397, 383, 619]","[[383, 619], [234, 502], [225, 397], [374, 514]]",湘A7NQ65,"[18, 0, 31, 12, 14, 30, 29]",29,156
ccpd_db/0220-19_36-193&423_353&538-353&538_214&490_193&423_332&471-0_9_27_16_27_24_33-21-41.jpg,220,19_36,"[193, 423, 353, 538]","[[353, 538], [214, 490], [193, 423], [332, 471]]",皖K3S309,"[0, 9, 27, 16, 27, 24, 33]",21,41
ccpd_db/0220-3_10-215&546_440&628-440&628_223&614_215&546_432&560-0_0_30_1_25_29_32-25-25.jpg,220,3_10,"[215, 546, 440, 628]","[[440, 628], [223, 614], [215, 546], [432, 560]]",皖A6B158,"[0, 0, 30, 1, 25, 29, 32]",25,25
ccpd_db/0540-2_11-173&460_576&572-576&572_188&553_173&460_561&479-0_1_20_30_31_31_20-30-6.jpg,540,2_11,"[173, 460, 576, 572]","[[576, 572], [188, 553], [173, 460], [561, 479]]",皖BW677W,"[0, 1, 20, 30, 31, 31, 20]",30,6
ccpd_db/0165-0_11-251&537_446&608-446&608_265&607_251&537_432&538-0_0_10_27_2_31_27-30-2.jpg,165,0_11,"[251, 537, 446, 608]","[[446, 608], [265, 607], [251, 537], [432, 538]]",皖AL3C73,"[0, 0, 10, 27, 2, 31, 27]",30,2
ccpd_db/0743-19_23-195&442_492&651-492&651_201&546_195&442_486&547-0_0_12_32_24_28_25-26-5.jpg,743,19_23,"[195, 442, 492, 651]","[[492, 651], [201, 546], [195, 442], [486, 547]]",皖AN8041,"[0, 0, 12, 32, 24, 28, 25]",26,5
ccpd_db/0772-18_17-316&429_586&668-586&577_321&668_316&520_581&429-0_0_10_10_32_31_33-38-14.jpg,772,18_17,"[316, 429, 586, 668]","[[586, 577], [321, 668], [316, 520], [581, 429]]",皖ALL879,"[0, 0, 10, 10, 32, 31, 33]",38,14
ccpd_db/0549-1_10-187&480_517&619-495&612_187&619_209&487_517&480-0_0_4_32_25_27_29-217-21.jpg,549,1_10,"[187, 480, 517, 619]","[[495, 612], [187, 619], [209, 487], [517, 480]]",皖AE8135,"[0, 0, 4, 32, 25, 27, 29]",217,21
ccpd_db/0570-12_11-203&418_480&590-478&590_203&530_205&418_480&478-0_0_17_32_30_25_7-34-4.jpg,570,12_11,"[203, 418, 480, 590]","[[478, 590], [203, 530], [205, 418], [480, 478]]",皖AT861H,"[0, 0, 17, 32, 30, 25, 7]",34,4
ccpd_db/0056-15_17-299&542_370&608-368&589_299&608_301&561_370&542-0_0_31_8_27_27_33-39-27.jpg,56,15_17,"[299, 542, 370, 608]","[[368, 589], [299, 608], [301, 561], [370, 542]]",皖A7J339,"[0, 0, 31, 8, 27, 27, 33]",39,27
ccpd_db/0311-1_12-235&483_515&576-515&576_252&570_235&483_498&489-19_1_32_17_23_28_33-21-3.jpg,311,1_12,"[235, 483, 515, 576]","[[515, 576], [252, 570], [235, 483], [498, 489]]",粤B8TZ49,"[19, 1, 32, 17, 23, 28, 33]",21,3
ccpd_db/0334-8_16-251&492_488&610-488&610_263&576_251&492_476&526-0_0_10_6_32_25_26-24-10.jpg,334,8_16,"[251, 492, 488, 610]","[[488, 610], [263, 576], [251, 492], [476, 526]]",皖ALG812,"[0, 0, 10, 6, 32, 25, 26]",24,10
ccpd_db/0357-15_1-416&399_637&534-617&534_416&480_436&399_637&453-10_4_27_3_31_24_23-24-23.jpg,357,15_1,"[416, 399, 637, 534]","[[617, 534], [416, 480], [436, 399], [637, 453]]",苏E3D70Z,"[10, 4, 27, 3, 31, 24, 23]",24,23
ccpd_db/0336-0_21-248&499_550&592-550&592_284&591_248&499_514&500-0_0_22_24_7_27_29-34-32.jpg,336,0_21,"[248, 499, 550, 592]","[[550, 592], [284, 591], [248, 499], [514, 500]]",皖AY0H35,"[0, 0, 22, 24, 7, 27, 29]",34,32
ccpd_db/0484-16_16-304&470_534&646-534&578_304&646_304&538_534&470-0_0_21_11_30_30_33-35-4.jpg,484,16_16,"[304, 470, 534, 646]","[[534, 578], [304, 646], [304, 538], [534, 470]]",皖AXM669,"[0, 0, 21, 11, 30, 30, 33]",35,4
ccpd_db/0105-0_1-204&456_337&522-334&522_204&520_207&456_337&458-0_0_24_30_29_11_30-22-1.jpg,105,0_1,"[204, 456, 337, 522]","[[334, 522], [204, 520], [207, 456], [337, 458]]",皖A065M6,"[0, 0, 24, 30, 29, 11, 30]",22,1
ccpd_db/0396-1_2-223&415_490&539-490&532_231&539_223&422_482&415-0_0_5_1_32_29_26-213-42.jpg,396,1_2,"[223, 415, 490, 539]","[[490, 532], [231, 539], [223, 422], [482, 415]]",皖AFB852,"[0, 0, 5, 1, 32, 29, 26]",213,42
ccpd_db/0206-5_2-260&540_458&627-454&627_260&607_264&540_458&560-0_0_24_29_32_19_30-208-47.jpg,206,5_2,"[260, 540, 458, 627]","[[454, 627], [260, 607], [264, 540], [458, 560]]",皖A058V6,"[0, 0, 24, 29, 32, 19, 30]",208,47
ccpd_db/0401-31_37-283&420_456&614-446&513_283&614_293&521_456&420-0_0_8_27_26_32_12-30-85.jpg,401,31_37,"[283, 420, 456, 614]","[[446, 513], [283, 614], [293, 521], [456, 420]]",皖AJ328N,"[0, 0, 8, 27, 26, 32, 12]",30,85
ccpd_db/0353-6_22-246&530_512&641-512&641_271&615_246&530_487&556-0_0_33_25_32_6_32-19-6.jpg,353,6_22,"[246, 530, 512, 641]","[[512, 641], [271, 615], [246, 530], [487, 556]]",皖A918G8,"[0, 0, 33, 25, 32, 6, 32]",19,6
ccpd_db/0437-2_4-258&420_623&520-623&520_261&505_258&420_620&435-0_0_32_32_1_28_31-18-2.jpg,437,2_4,"[258, 420, 623, 520]","[[623, 520], [261, 505], [258, 420], [620, 435]]",皖A88B47,"[0, 0, 32, 32, 1, 28, 31]",18,2
ccpd_db/0180-1_3-277&438_468&517-466&512_277&517_279&443_468&438-0_0_25_27_0_0_25-19-15.jpg,180,1_3,"[277, 438, 468, 517]","[[466, 512], [277, 517], [279, 443], [468, 438]]",皖A13AA1,"[0, 0, 25, 27, 0, 0, 25]",19,15
ccpd_db/0349-13_12-247&448_463&583-462&583_247&532_248&448_463&499-0_0_23_29_29_24_0-21-2.jpg,349,13_12,"[247, 448, 463, 583]","[[462, 583], [247, 532], [248, 448], [463, 499]]",皖AZ550A,"[0, 0, 23, 29, 29, 24, 0]",21,2
ccpd_db/0565-4_23-208&473_543&614-543&614_248&589_208&473_503&498-0_11_11_3_30_32_30-20-4.jpg,565,4_23,"[208, 473, 543, 614]","[[543, 614], [248, 589], [208, 473], [503, 498]]",皖MMD686,"[0, 11, 11, 3, 30, 32, 30]",20,4
ccpd_db/0820-26_35-194&423_466&675-466&675_216&552_194&423_444&546-0_0_3_32_21_33_24-26-7.jpg,820,26_35,"[194, 423, 466, 675]","[[466, 675], [216, 552], [194, 423], [444, 546]]",皖AD8X90,"[0, 0, 3, 32, 21, 33, 24]",26,7
ccpd_db/1169-24_42-185&358_535&637-490&497_185&637_230&498_535&358-0_0_23_10_29_25_28-44-17.jpg,1169,24_42,"[185, 358, 535, 637]","[[490, 497], [185, 637], [230, 498], [535, 358]]",皖AZL514,"[0, 0, 23, 10, 29, 25, 28]",44,17
ccpd_db/0498-12_6-258&446_534&597-524&597_258&539_268&446_534&504-0_0_23_12_33_33_24-30-6.jpg,498,12_6,"[258, 446, 534, 597]","[[524, 597], [258, 539], [268, 446], [534, 504]]",皖AZN990,"[0, 0, 23, 12, 33, 33, 24]",30,6
ccpd_db/0565-0_0-167&492_536&620-536&617_169&620_167&495_534&492-0_0_2_26_10_25_32-30-21.jpg,565,0_0,"[167, 492, 536, 620]","[[536, 617], [169, 620], [167, 495], [534, 492]]",皖AC2L18,"[0, 0, 2, 26, 10, 25, 32]",30,21
ccpd_db/0279-1_15-244&461_490&556-490&550_271&556_244&467_463&461-0_0_29_27_7_28_26-41-3.jpg,279,1_15,"[244, 461, 490, 556]","[[490, 550], [271, 556], [244, 467], [463, 461]]",皖A53H42,"[0, 0, 29, 27, 7, 28, 26]",41,3
ccpd_db/0637-2_11-176&512_589&641-572&622_176&641_193&531_589&512-0_0_11_25_17_25_29-198-96.jpg,637,2_11,"[176, 512, 589, 641]","[[572, 622], [176, 641], [193, 531], [589, 512]]",皖AM1T15,"[0, 0, 11, 25, 17, 25, 29]",198,96
ccpd_db/0305-2_14-165&434_431&530-431&530_183&519_165&434_413&445-0_10_33_21_29_30_30-20-1.jpg,305,2_14,"[165, 434, 431, 530]","[[431, 530], [183, 519], [165, 434], [413, 445]]",皖L9X566,"[0, 10, 33, 21, 29, 30, 30]",20,1
ccpd_db/0571-0_3-146&417_519&545-513&543_146&545_152&419_519&417-11_0_27_32_33_1_23-209-18.jpg,571,0_3,"[146, 417, 519, 545]","[[513, 543], [146, 545], [152, 419], [519, 417]]",浙A389BZ,"[11, 0, 27, 32, 33, 1, 23]",209,18
ccpd_db/1257-1_4-66&421_643&603-643&586_83&603_66&438_626&421-15_5_27_25_25_29_7-40-19.jpg,1257,1_4,"[66, 421, 643, 603]","[[643, 586], [83, 603], [66, 438], [626, 421]]",鲁F3115H,"[15, 5, 27, 25, 25, 29, 7]",40,19
ccpd_db/0742-8_22-202&446_541&629-541&629_234&581_202&446_509&494-0_0_32_16_31_31_24-41-20.jpg,742,8_22,"[202, 446, 541, 629]","[[541, 629], [234, 581], [202, 446], [509, 494]]",皖A8S770,"[0, 0, 32, 16, 31, 31, 24]",41,20
ccpd_db/0233-1_6-195&486_422&572-422&572_201&565_195&486_416&493-0_0_15_30_30_25_1-25-1.jpg,233,1_6,"[195, 486, 422, 572]","[[422, 572], [201, 565], [195, 486], [416, 493]]",皖AR661B,"[0, 0, 15, 30, 30, 25, 1]",25,1
ccpd_db/0341-15_28-437&410_647&546-629&492_437&546_455&464_647&410-0_7_12_25_25_27_33-24-74.jpg,341,15_28,"[437, 410, 647, 546]","[[629, 492], [437, 546], [455, 464], [647, 410]]",皖HN1139,"[0, 7, 12, 25, 25, 27, 33]",24,74
ccpd_db/0302-1_0-233&474_486&574-483&574_233&568_236&474_486&480-0_0_0_30_21_29_29-234-7.jpg,302,1_0,"[233, 474, 486, 574]","[[483, 574], [233, 568], [236, 474], [486, 480]]",皖AA6X55,"[0, 0, 0, 30, 21, 29, 29]",234,7
ccpd_db/0351-2_3-220&470_489&579-488&565_220&579_221&484_489&470-0_0_28_0_26_28_28-23-6.jpg,351,2_3,"[220, 470, 489, 579]","[[488, 565], [220, 579], [221, 484], [489, 470]]",皖A4A244,"[0, 0, 28, 0, 26, 28, 28]",23,6
ccpd_db/0531-4_20-129&476_481&602-481&602_156&574_129&476_454&504-0_0_1_33_25_31_29-24-2.jpg,531,4_20,"[129, 476, 481, 602]","[[481, 602], [156, 574], [129, 476], [454, 504]]",皖AB9175,"[0, 0, 1, 33, 25, 31, 29]",24,2
ccpd_db/0365-1_18-202&466_498&569-498&569_233&564_202&466_467&471-0_0_10_6_26_25_29-21-2.jpg,365,1_18,"[202, 466, 498, 569]","[[498, 569], [233, 564], [202, 466], [467, 471]]",皖ALG215,"[0, 0, 10, 6, 26, 25, 29]",21,2
ccpd_db/0828-29_42-306&398_571&659-571&659_338&529_306&398_539&528-0_10_2_2_25_27_24-29-112.jpg,828,29_42,"[306, 398, 571, 659]","[[571, 659], [338, 529], [306, 398], [539, 528]]",皖LCC130,"[0, 10, 2, 2, 25, 27, 24]",29,112
ccpd_db/0900-18_38-144&422_471&652-423&558_144&652_192&516_471&422-0_14_29_29_24_27_30-24-22.jpg,900,18_38,"[144, 422, 471, 652]","[[423, 558], [144, 652], [192, 516], [471, 422]]",皖Q55036,"[0, 14, 29, 29, 24, 27, 30]",24,22
ccpd_db/0200-1_1-254&515_463&595-459&595_254&589_258&515_463&521-0_0_9_20_31_32_24-209-15.jpg,200,1_1,"[254, 515, 463, 595]","[[459, 595], [254, 589], [258, 515], [463, 521]]",皖AKW780,"[0, 0, 9, 20, 31, 32, 24]",209,15
ccpd_db/0441-4_3-211&463_526&580-526&556_224&580_211&487_513&463-0_0_9_21_32_26_24-24-3.jpg,441,4_3,"[211, 463, 526, 580]","[[526, 556], [224, 580], [211, 487], [513, 463]]",皖AKX820,"[0, 0, 9, 21, 32, 26, 24]",24,3
ccpd_db/0293-2_12-272&502_520&601-520&601_287&591_272&502_505&512-0_0_0_26_27_24_1-21-2.jpg,293,2_12,"[272, 502, 520, 601]","[[520, 601], [287, 591], [272, 502], [505, 512]]",皖AA230B,"[0, 0, 0, 26, 27, 24, 1]",21,2
ccpd_db/0416-8_29-233&493_509&619-509&619_269&585_233&493_473&527-0_0_13_25_16_26_27-27-9.jpg,416,8_29,"[233, 493, 509, 619]","[[509, 619], [269, 585], [233, 493], [473, 527]]",皖AP1S23,"[0, 0, 13, 25, 16, 26, 27]",27,9
