image_path,area,tilt,bbox,vertices,annotation,encoded_label,brightness,blurriness
ccpd_weather/0042-5_0-294&496_374&540-374&533_298&540_294&503_370&496-0_0_3_25_27_24_20-92-5.jpg,42,5_0,"[294, 496, 374, 540]","[[374, 533], [298, 540], [294, 503], [370, 496]]",皖AD02OW,"[0, 0, 3, 25, 27, 24, 20]",92,5
ccpd_weather/0044-0_6-304&542_411&577-407&577_304&577_308&542_411&542-0_0_18_17_26_30_31-63-8.jpg,44,0_6,"[304, 542, 411, 577]","[[407, 577], [304, 577], [308, 542], [411, 542]]",皖AUT156,"[0, 0, 18, 17, 26, 30, 31]",63,8
ccpd_weather/0045-0_1-339&547_444&583-443&583_339&582_340&547_444&548-0_11_23_28_32_32_26-54-16.jpg,45,0_1,"[339, 547, 444, 583]","[[443, 583], [339, 582], [340, 547], [444, 548]]",皖MZ3771,"[0, 11, 23, 28, 32, 32, 26]",54,16
ccpd_weather/0045-5_4-177&511_268&553-262&553_177&545_183&511_268&519-0_0_19_3_24_26_32-71-15.jpg,45,5_4,"[177, 511, 268, 553]","[[262, 553], [177, 545], [183, 511], [268, 519]]",皖AVDO17,"[0, 0, 19, 3, 24, 26, 32]",71,15
ccpd_weather/0046-0_1-402&426_497&467-497&467_403&467_402&426_496&426-0_15_10_26_26_26_13-129-17.jpg,46,0_1,"[402, 426, 497, 467]","[[497, 467], [403, 467], [402, 426], [496, 426]]",皖RL111P,"[0, 15, 10, 26, 26, 26, 13]",129,17
ccpd_weather/0047-0_2-315&506_425&542-425&542_316&541_315&506_424&507-0_0_6_2_26_31_30-78-6.jpg,47,0_2,"[315, 506, 425, 542]","[[425, 542], [316, 541], [315, 506], [424, 507]]",皖AGC165,"[0, 0, 6, 2, 26, 31, 30]",78,6
ccpd_weather/0047-0_3-389&473_500&509-500&509_391&509_389&473_498&473-0_0_18_24_25_33_28-54-2.jpg,47,0_3,"[389, 473, 500, 509]","[[500, 509], [391, 509], [389, 473], [498, 473]]",皖AUO083,"[0, 0, 18, 24, 25, 33, 28]",54,2
ccpd_weather/0048-0_1-305&487_412&525-412&524_306&525_305&488_411&487-0_0_2_32_32_24_22-63-6.jpg,48,0_1,"[305, 487, 412, 525]","[[412, 524], [306, 525], [305, 488], [411, 487]]",皖AC77OY,"[0, 0, 2, 32, 32, 24, 22]",63,6
ccpd_weather/0050-2_0-323&520_428&560-428&555_325&560_323&525_426&520-0_0_17_6_29_30_32-54-5.jpg,50,2_0,"[323, 520, 428, 560]","[[428, 555], [325, 560], [323, 525], [426, 520]]",皖ATG457,"[0, 0, 17, 6, 29, 30, 32]",54,5
ccpd_weather/0051-4_1-184&538_280&583-280&576_186&583_184&545_278&538-0_0_28_25_28_31_30-71-14.jpg,51,4_1,"[184, 538, 280, 583]","[[280, 576], [186, 583], [184, 545], [278, 538]]",皖A30365,"[0, 0, 28, 25, 28, 31, 30]",71,14
ccpd_weather/0053-11_17-251&530_333&585-333&585_255&569_251&530_329&546-0_0_7_32_19_33_29-74-6.jpg,53,11_17,"[251, 530, 333, 585]","[[333, 585], [255, 569], [251, 530], [329, 546]]",皖AH7V84,"[0, 0, 7, 32, 19, 33, 29]",74,6
ccpd_weather/0054-0_3-116&329_217&374-217&374_119&374_116&329_214&329-0_0_17_19_26_27_29-76-9.jpg,54,0_3,"[116, 329, 217, 374]","[[217, 374], [119, 374], [116, 329], [214, 329]]",皖ATV124,"[0, 0, 17, 19, 26, 27, 29]",76,9
ccpd_weather/0054-0_3-328&485_445&524-443&523_328&524_330&486_445&485-0_0_8_31_29_27_26-93-5.jpg,54,0_3,"[328, 485, 445, 524]","[[443, 523], [328, 524], [330, 486], [445, 485]]",皖AJ6421,"[0, 0, 8, 31, 29, 27, 26]",93,5
ccpd_weather/0054-2_2-361&439_469&481-469&481_361&477_361&439_469&443-0_0_4_24_33_24_25-96-10.jpg,54,2_2,"[361, 439, 469, 481]","[[469, 481], [361, 477], [361, 439], [469, 443]]",皖AEO8O0,"[0, 0, 4, 24, 33, 24, 25]",96,10
ccpd_weather/0056-3_3-376&506_488&548-488&542_380&548_376&512_484&506-0_14_16_20_32_24_32-86-11.jpg,56,3_3,"[376, 506, 488, 548]","[[488, 542], [380, 548], [376, 512], [484, 506]]",皖QSW7O7,"[0, 14, 16, 20, 32, 24, 32]",86,11
ccpd_weather/0059-1_0-224&472_340&515-340&512_225&515_224&475_339&472-0_0_33_27_32_29_27-50-5.jpg,59,1_0,"[224, 472, 340, 515]","[[340, 512], [225, 515], [224, 475], [339, 472]]",皖A82742,"[0, 0, 33, 27, 32, 29, 27]",50,5
ccpd_weather/0060-0_0-271&337_389&380-389&380_271&379_271&337_389&338-0_0_29_4_31_24_25-109-19.jpg,60,0_0,"[271, 337, 389, 380]","[[389, 380], [271, 379], [271, 337], [389, 338]]",皖A4E6O0,"[0, 0, 29, 4, 31, 24, 25]",109,19
ccpd_weather/0060-0_3-294&528_411&571-408&571_294&570_297&528_411&529-0_0_2_27_5_32_32-74-10.jpg,60,0_3,"[294, 528, 411, 571]","[[408, 571], [294, 570], [297, 528], [411, 529]]",皖AC2F77,"[0, 0, 2, 27, 5, 32, 32]",74,10
ccpd_weather/0060-2_0-312&490_432&532-430&532_312&527_314&490_432&495-11_5_30_19_26_32_31-138-11.jpg,60,2_0,"[312, 490, 432, 532]","[[430, 532], [312, 527], [314, 490], [432, 495]]",浙F5V176,"[11, 5, 30, 19, 26, 32, 31]",138,11
ccpd_weather/0061-5_1-245&506_349&555-349&545_248&555_245&516_346&506-0_0_5_0_25_25_26-70-3.jpg,61,5_1,"[245, 506, 349, 555]","[[349, 545], [248, 555], [245, 516], [346, 506]]",皖AFA001,"[0, 0, 5, 0, 25, 25, 26]",70,3
ccpd_weather/0062-1_0-383&475_496&521-495&521_383&518_384&475_496&478-0_0_24_27_30_21_25-84-22.jpg,62,1_0,"[383, 475, 496, 521]","[[495, 521], [383, 518], [384, 475], [496, 478]]",皖AO25X0,"[0, 0, 24, 27, 30, 21, 25]",84,22
ccpd_weather/0064-0_3-384&472_510&515-507&515_384&515_387&472_510&472-0_0_33_28_29_21_31-47-9.jpg,64,0_3,"[384, 472, 510, 515]","[[507, 515], [384, 515], [387, 472], [510, 472]]",皖A834X6,"[0, 0, 33, 28, 29, 21, 31]",47,9
ccpd_weather/0064-2_12-283&520_398&567-390&563_283&567_291&524_398&520-0_0_33_26_31_11_33-57-15.jpg,64,2_12,"[283, 520, 398, 567]","[[390, 563], [283, 567], [291, 524], [398, 520]]",皖A816M8,"[0, 0, 33, 26, 31, 11, 33]",57,15
ccpd_weather/0065-1_1-324&439_448&483-448&480_324&483_324&442_448&439-0_0_18_30_24_24_7-71-3.jpg,65,1_1,"[324, 439, 448, 483]","[[448, 480], [324, 483], [324, 442], [448, 439]]",皖AU5OOH,"[0, 0, 18, 30, 24, 24, 7]",71,3
ccpd_weather/0065-3_19-244&512_347&565-334&559_244&565_257&518_347&512-0_0_6_23_25_25_24-71-17.jpg,65,3_19,"[244, 512, 347, 565]","[[334, 559], [244, 565], [257, 518], [347, 512]]",皖AGZ00O,"[0, 0, 6, 23, 25, 25, 24]",71,17
ccpd_weather/0066-0_2-416&485_542&529-542&528_418&529_416&486_540&485-0_0_1_30_29_30_18-69-15.jpg,66,0_2,"[416, 485, 542, 529]","[[542, 528], [418, 529], [416, 486], [540, 485]]",皖AB545U,"[0, 0, 1, 30, 29, 30, 18]",69,15
