               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020862,           0.0046332,                   0,             0.99724,             0.99743,             0.99491,             0.74396,            0.013193,           0.0025804,                   0,            0.067017,          0.00033317,          0.00033317
                   1,            0.021609,           0.0047987,                   0,             0.99679,             0.99701,             0.99495,             0.72993,            0.013979,            0.002375,                   0,            0.033995,          0.00064451,          0.00064451
                   2,            0.022016,           0.0049148,                   0,             0.99689,             0.99765,             0.99489,             0.73994,            0.012899,           0.0023678,                   0,          0.00095051,          0.00093384,          0.00093384
                   3,            0.022035,           0.0049298,                   0,             0.99796,             0.99834,             0.99498,             0.75418,            0.012694,           0.0023555,                   0,            0.000901,            0.000901,            0.000901
                   4,            0.021858,           0.0049222,                   0,             0.99802,             0.99861,             0.99497,             0.75202,            0.012529,           0.0022766,                   0,            0.000901,            0.000901,            0.000901
                   5,            0.021778,           0.0048731,                   0,              0.9981,             0.99887,             0.99495,             0.75071,            0.012534,           0.0023502,                   0,            0.000868,            0.000868,            0.000868
                   6,            0.021661,           0.0048717,                   0,             0.99796,             0.99898,             0.99496,             0.75314,            0.012478,           0.0023572,                   0,            0.000835,            0.000835,            0.000835
                   7,            0.021529,           0.0048617,                   0,             0.99786,             0.99898,             0.99497,             0.75383,            0.012437,           0.0023664,                   0,            0.000802,            0.000802,            0.000802
                   8,            0.021429,           0.0048233,                   0,             0.99795,             0.99895,             0.99498,             0.75495,            0.012431,           0.0023637,                   0,            0.000769,            0.000769,            0.000769
                   9,            0.021242,           0.0048143,                   0,             0.99811,             0.99894,             0.99498,             0.75514,            0.012418,           0.0023636,                   0,            0.000736,            0.000736,            0.000736
                  10,            0.021205,           0.0047974,                   0,             0.99808,             0.99894,             0.99498,             0.75608,            0.012416,           0.0023516,                   0,            0.000703,            0.000703,            0.000703
                  11,            0.021112,           0.0047791,                   0,             0.99813,             0.99891,             0.99498,             0.75662,            0.012415,           0.0023395,                   0,             0.00067,             0.00067,             0.00067
                  12,            0.021007,           0.0047733,                   0,              0.9981,             0.99893,             0.99498,             0.75773,            0.012408,           0.0023296,                   0,            0.000637,            0.000637,            0.000637
                  13,             0.02088,           0.0047433,                   0,             0.99819,              0.9989,             0.99498,             0.75916,            0.012405,           0.0023147,                   0,            0.000604,            0.000604,            0.000604
                  14,            0.020778,           0.0047199,                   0,             0.99813,             0.99894,             0.99498,             0.75999,            0.012402,           0.0023005,                   0,            0.000571,            0.000571,            0.000571
                  15,            0.020681,           0.0047114,                   0,             0.99826,              0.9989,             0.99498,             0.76086,            0.012404,           0.0022881,                   0,            0.000538,            0.000538,            0.000538
                  16,            0.020648,            0.004714,                   0,             0.99841,             0.99889,             0.99498,              0.7625,            0.012408,           0.0022742,                   0,            0.000505,            0.000505,            0.000505
                  17,            0.020522,           0.0046701,                   0,             0.99842,             0.99885,             0.99498,             0.76363,            0.012403,           0.0022629,                   0,            0.000472,            0.000472,            0.000472
                  18,            0.020425,           0.0046521,                   0,             0.99847,             0.99888,             0.99498,             0.76487,            0.012405,           0.0022506,                   0,            0.000439,            0.000439,            0.000439
                  19,             0.02035,           0.0046305,                   0,             0.99847,             0.99893,             0.99498,             0.76565,            0.012402,           0.0022406,                   0,            0.000406,            0.000406,            0.000406
                  20,            0.020216,           0.0046178,                   0,             0.99849,             0.99898,             0.99498,             0.76648,            0.012388,           0.0022386,                   0,            0.000373,            0.000373,            0.000373
                  21,            0.020112,           0.0045861,                   0,             0.99858,               0.999,             0.99498,             0.76743,            0.012386,           0.0022327,                   0,             0.00034,             0.00034,             0.00034
                  22,            0.020007,            0.004583,                   0,             0.99858,              0.9991,             0.99498,             0.76867,            0.012367,           0.0022317,                   0,            0.000307,            0.000307,            0.000307
                  23,             0.01996,           0.0045448,                   0,             0.99863,             0.99917,             0.99498,             0.76961,            0.012345,            0.002231,                   0,            0.000274,            0.000274,            0.000274
                  24,            0.019819,           0.0045326,                   0,             0.99874,             0.99918,             0.99498,             0.77045,             0.01232,           0.0022295,                   0,            0.000241,            0.000241,            0.000241
                  25,             0.01968,            0.004518,                   0,              0.9988,             0.99921,             0.99498,             0.77137,            0.012291,            0.002232,                   0,            0.000208,            0.000208,            0.000208
                  26,            0.019585,            0.004494,                   0,             0.99889,             0.99926,             0.99498,             0.77179,            0.012275,           0.0022291,                   0,            0.000175,            0.000175,            0.000175
                  27,            0.019453,           0.0044599,                   0,             0.99888,             0.99934,             0.99498,             0.77249,            0.012247,           0.0022318,                   0,            0.000142,            0.000142,            0.000142
                  28,            0.019105,           0.0044028,                   0,             0.99893,             0.99939,             0.99498,             0.77321,            0.012221,           0.0022366,                   0,            0.000109,            0.000109,            0.000109
                  29,             0.01915,           0.0044135,                   0,             0.99894,             0.99937,             0.99498,             0.77362,            0.012194,           0.0022394,                   0,             7.6e-05,             7.6e-05,             7.6e-05
